"Data set"," Type","Date/Time","selected sum"," background sum"," efficiency"," cross section",
"[['Zee'], ['Zmumu']]",Electrons,08_1356,4218540.0,74543.6,0.21490128891354415,1916.0627200209858
"[['Zee'], ['Zmumu']]",Muons,08_1356,4745130.084806,855.386,0.24171417961650965,1950.2804667604728
"[['Zee'], ['Zmumu']]",Electrons,08_1450,4218540.0,74543.6,0.21490128891354415,1916.0627200209858
"[['Zee'], ['Zmumu']]",Muons,08_1450,4745130.084806,855.386,0.24171417961650965,1950.2804667604728
"[['Zee'], ['Zmumu']]",Electrons,08_1516,4194250.0,73509.3,0.21366390529084295,1916.3441134933676
"[['Zee'], ['Zmumu']]",Muons,08_1516,4729130.084806,637.069,0.24089914887873332,1950.3693266598007
"[['Zee'], ['Zmumu']]",Electrons,08_1926,4111240.0,71769.6,0.20943520152301964,1916.479256958863
"[['Zee'], ['Zmumu']]",Muons,08_1926,4674190.0,547.176,0.23810053276292525,1950.403752176468
"[['Zee'], ['Zmumu']]",Electrons,08_2225,3615490.0,62442.6,0.18418065516838283,1916.8421899395078
"[['Zee'], ['Zmumu']]",Muons,08_2225,4335470.0,426.38,0.22084633204420007,1950.4402609583074
"[['Zee'], ['Zmumu']]",Electrons,08_2249,3019000.0,51851.8,0.15379420160292182,1917.0288491426154
"[['Zee'], ['Zmumu']]",Muons,08_2249,3645920.0,262.602,0.18572105421709525,1950.4916028183247
"[['Zee'], ['Zmumu']]",Electrons,08_2309,2191160.0,37318.4,0.11162229307196363,1917.30936104859
"[['Zee'], ['Zmumu']]",Muons,08_2309,2663690.0,133.678,0.13568682661921666,1950.5342065655632
"[['Zee'], ['Zmumu']]",Electrons,08_2328,1183460.0,19251.3,0.06028793833355212,1918.8003090412947
"[['Zee'], ['Zmumu']]",Muons,08_2328,1470910.0,59.9394,0.07492730390641253,1950.5526115467615
"[['Zee'], ['Zmumu']]",Electrons,08_2347,260066.0,4419.53,0.013248308325294954,1917.3824389065435
"[['Zee'], ['Zmumu']]",Muons,08_2347,323184.0,22.565,0.01646280587234435,1950.4959046604308
