Data set," Type",Date/Time,selected sum," background sum"," efficiency"," cross section"
[['2lep']],Electrons,02_2123,5505185.0,189144.0,0.28044568789379964,1883.5143223644523
[['2lep']],Muons,02_2123,5698431.0,81947.0,0.29027477638109894,1922.5807905861916
[['Zee']],Electrons,02_2145,4738220.0,89388.7,0.2413748797346791,1913.7318638850038
[['Zee']],Muons,02_2145,0.73015,0.0,3.719341832421229e-08,1950.6320995627982
[['Zmumu']],Electrons,02_2203,0.563863,0.550962,2.8724365650357175e-08,44.627473485694026
[['Zmumu']],Muons,02_2203,5173150.0,2694.2,0.2635172663204805,1949.6162015117766
[['2lep']],Electrons,02_2231,4214464.0,68188.0,0.21469364891164502,1918.9708712581198
[['2lep']],Muons,02_2231,4704896.0,19068.0,0.23966467862756027,1942.726578829829
[['Zee']],Electrons,03_0001,4111240.0,71769.6,0.20943520152301964,1916.479256958863
[['Zmumu']],Muons,03_0019,4674190.0,547.176,0.23810053276292525,1950.403752176468[['2lep']],Electrons,03_1608,4339353.0,81360.0,0.22105575690899093,1913.9583615667323
[['2lep']],Muons,03_1608,4784123.0,24038.0,0.24370045614392316,1940.8310776389696
[['2lep']],Electrons,03_2009,4339353.0,81360.0,0.22105575690899093,1913.9583615667323
[['2lep']],Muons,03_2009,4784123.0,24038.0,0.24370045614392316,1940.8310776389696
[['2lep']],Electrons,03_2025,4306132.0,72634.0,0.219363409386152,1917.6287995891246
[['2lep']],Muons,03_2025,4763680.0,20536.0,0.24265910155815057,1942.2230165016729
[['2lep']],Electrons,03_2322,4214464.0,68188.0,0.21469364891164502,1918.9708712581198
[['2lep']],Muons,03_2322,4704896.0,19068.0,0.23966467862756027,1942.726578829829
[['2lep']],Electrons,03_2349,4027472.0,64343.0,0.20516788364296878,1919.3677889239418
[['2lep']],Muons,03_2349,4587991.0,18644.0,0.2337096056025763,1942.7054090212844
[['2lep']],Electrons,04_0001,3663601.0,58080.0,0.18663153056862072,1919.607259110918
[['2lep']],Muons,04_0001,4356207.0,16445.0,0.22190266281977933,1943.2683207347231
[['2lep']],Electrons,04_0033,3040773.0,48010.0,0.15490336395850327,1919.7330805697256
[['2lep']],Muons,04_0033,3645533.0,10228.0,0.18570134066112529,1945.1593565882238
[['2lep']],Electrons,04_0105,2203033.0,34472.0,0.1122271286319608,1920.008553426324
[['2lep']],Muons,04_0105,2667360.0,5343.0,0.1358737742946941,1946.7247802253394
[['2lep']],Electrons,04_0115,1193499.0,17999.0,0.0607993460811148,1921.113823709618
[['2lep']],Muons,04_0115,1476191.0,2198.0,0.07519631498929984,1947.7276723207683
[['2lep']],Electrons,04_0125,276414.0,4464.0,0.014081109785316341,1919.0290563395633
[['2lep']],Muons,04_0125,336434.0,876.0,0.017137753202065384,1945.553083413369
