Data set, Type,Date/Time,selected sum, background sum, efficiency, cross section
"[['Zee'], ['Zmumu']]",Electrons,16_0238,2997000,49862,0.152673475390512,1918.07794800023
"[['Zee'], ['Zmumu']]",Muons,16_0238,3656970,339.213,0.186283934820372,1950.45116294959
"[['Zee'], ['Zmumu']]",Electrons,16_0337,2997000,49862,0.152673475390512,1918.07794800023
"[['Zee'], ['Zmumu']]",Muons,16_0337,3656970,339.213,0.186283934820372,1950.45116294959
"[['Zee'], ['Zmumu']]",Electrons,16_0408,3442240,59008,0.175354936245658,1917.0928877755
"[['Zee'], ['Zmumu']]",Muons,16_0408,4147390,397.209,0.211265645721639,1950.44528119615
"[['Zee'], ['Zmumu']]",Electrons,16_0437,3615490,62442.6,0.184180655168383,1916.84218993951
"[['Zee'], ['Zmumu']]",Muons,16_0437,4335470,426.38,0.2208463320442,1950.44026095831
"[['Zee'], ['Zmumu']]",Electrons,16_1343,3719650,64670.2,0.189486784363136,1916.61740285523
"[['Zee'], ['Zmumu']]",Muons,16_1343,4439660,440.915,0.226153710329757,1950.43837685606
"[['Zee'], ['Zmumu']]",Electrons,16_1412,3790430,66196,0.193092466241061,1916.46548878178
"[['Zee'], ['Zmumu']]",Muons,16_1412,4506360,449.672,0.229551369717862,1950.43745363183
"[['Zee'], ['Zmumu']]",Electrons,16_1437,3832950,67074.2,0.195258524357045,1916.39646799058
"[['Zee'], ['Zmumu']]",Muons,16_1437,4545520,455.198,0.23154615744857,1950.436759133
"[['Zee'], ['Zmumu']]",Electrons,16_1503,3861760,67663.1,0.196726166274296,1916.35366518441
"[['Zee'], ['Zmumu']]",Muons,16_1503,4570860,459.246,0.232836962379523,1950.43611456453
"[['Zee'], ['Zmumu']]",Electrons,16_1550,3880980,68055.2,0.197705273447137,1916.32585183107
"[['Zee'], ['Zmumu']]",Muons,16_1550,4586980,461.16,0.233658105847833,1950.43598937722
"[['Zee'], ['Zmumu']]",Electrons,16_1617,3894040,68318.7,0.198370577280504,1916.30857802915
"[['Zee'], ['Zmumu']]",Muons,16_1617,4597300,462.252,0.234183800673699,1950.4359662695
"[['Zee'], ['Zmumu']]",Electrons,16_1652,3903100,68491.2,0.198832112711614,1916.30180782497
"[['Zee'], ['Zmumu']]",Muons,16_1652,4603950,463.246,0.234522547824087,1950.43582842224
"[['Zee'], ['Zmumu']]",Electrons,16_1732,3909570,68610.1,0.199161708102264,1916.29913111425
"[['Zee'], ['Zmumu']]",Muons,16_1732,4608370,463.246,0.234747700065398,1950.43601667067
